planning_unit,policy,reorder_point,order_quantity,safety_stock,days,units_demanded,units_shipped,units_lost,stockout_days,orders_placed,cycles,cycles_with_stockout,mean_on_hand,holding_cost,ordering_cost,total_cost,fill_rate,stockout_day_rate,realised_cycle_service_level
Nike Men's Free 5.0+ Running Shoe,demand_only,186.73961086050298,625.2181932548465,47.74288061188559,250,8703.0,8577.748833291238,125.25116670876241,4,14,14,3,379.3662731238974,4221.976257633482,3500.0,7721.976257633482,0.9856082768345672,0.016,0.7857142857142857
Nike Men's Free 5.0+ Running Shoe,flat_baseline,208.49509537292607,625.2181932548465,69.49836512430869,250,8703.0,8689.540578510041,13.459421489957776,1,14,14,1,411.9344745608995,4584.428544413179,3500.0,8084.428544413179,0.9984534733436793,0.004,0.9285714285714286
Nike Men's Dri-FIT Victory Golf Polo,segmented,425.0180934509924,1159.3103229892224,186.04212999898013,250,14926.0,14926.0,0.0,0,13,13,0,754.325771728288,4197.874585816671,3250.0,7447.874585816671,1.0,0.0,1.0
Nike Men's Dri-FIT Victory Golf Polo,demand_only,303.90186258296035,1159.3103229892224,64.9258991309481,250,14926.0,14718.591222937463,207.40877706253696,6,12,12,5,632.6404852658475,3520.6876320445276,3000.0,6520.687632044528,0.9861041955605965,0.024,0.5833333333333333
Nike Men's Dri-FIT Victory Golf Polo,flat_baseline,358.4639451780184,1159.3103229892224,119.48798172600613,250,14926.0,14861.8429825433,64.1570174567014,3,12,12,3,668.0029276959938,3717.48204625339,3000.0,6717.48204625339,0.9957016603606659,0.012,0.75
Pelican Sunstream 100 Kayak,segmented,104.2975154130875,287.22384175545875,45.62508524583369,250,3755.0,3755.0,0.0,0,14,14,0,179.70829735041696,4000.15602638332,3500.0,7500.15602638332,1.0,0.0,1.0
Pelican Sunstream 100 Kayak,demand_only,74.4653534771324,287.22384175545875,15.792923309878583,250,3755.0,3720.79073404367,34.20926595633,3,13,13,2,160.45606040468195,3571.617373603842,3250.0,6821.617373603842,0.9908896761767431,0.012,0.8461538461538461
Pelican Sunstream 100 Kayak,flat_baseline,88.00864525088072,287.22384175545875,29.336215083626907,250,3755.0,3744.7397749059037,10.260225094096143,1,14,14,1,171.46319381846465,3816.626934695463,3500.0,7316.626934695463,0.9972675831973112,0.004,0.9285714285714286
O'Brien Men's Neoprene Life Vest,segmented,393.3168852329949,1116.1867120746974,171.87755731141695,250,13487.0,13487.0,0.0,0,13,13,0,699.8981007407815,3893.422840667164,3250.0,7143.422840667165,1.0,0.0,1.0
O'Brien Men's Neoprene Life Vest,demand_only,280.1165644705493,1116.1867120746974,58.67723654897137,250,13487.0,13414.890329180174,72.10967081982517,2,12,12,2,622.6991549903582,3463.9772708877954,3000.0,6463.977270887795,0.9946533943189868,0.008,0.8333333333333334
O'Brien Men's Neoprene Life Vest,flat_baseline,332.1589918823669,1116.1867120746974,110.71966396078895,250,13487.0,13474.3726203679,12.627379632099746,1,13,13,1,655.0946003104258,3644.1880281526574,3250.0,6894.188028152657,0.9990637369591384,0.004,0.9230769230769231
Nike Men's CJ Elite 2 TD Football Cleat,segmented,135.66942025121932,426.42678119789963,51.61051738467046,250,5348.0,5348.0,0.0,0,12,12,0,247.25098383108192,3577.243473673594,3000.0,6577.243473673594,1.0,0.0,1.0
Nike Men's CJ Elite 2 TD Football Cleat,demand_only,99.91133838928474,426.42678119789963,15.852435522735878,250,5348.0,5276.24610336303,71.7538966369699,6,12,12,4,225.50385881836385,3262.6046406242676,3000.0,6262.604640624268,0.9865830410177692,0.024,0.6666666666666667
